Accession Individual Species Genus                                
EU646178.1 "Quercus falcata 4" "Quercus falcata " Quercus                                
EU646166.1 "Quercus falcata 6" "Quercus falcata " Quercus                                
FM244006.1 "Quercus frainetto 1" "Quercus frainetto " Quercus                                
FM244007.1 "Quercus frainetto 2" "Quercus frainetto " Quercus                                
FM244011.1 "Quercus frainetto 3" "Quercus frainetto " Quercus                                
FM244013.1 "Quercus frainetto 4" "Quercus frainetto " Quercus                                
FM244017.1 "Quercus frainetto 5" "Quercus frainetto " Quercus                                
AF176380.1 "Quercus fusiformis 1" "Quercus fusiformis " Quercus                                
AF176406.1 "Quercus fusiformis 2" "Quercus fusiformis " Quercus                                
AF174633.1 "Quercus fusiformis 3" "Quercus fusiformis " Quercus                                
AF174634.1 "Quercus fusiformis 4" "Quercus fusiformis " Quercus                                
JF980332.1 "Quercus gilva" "Quercus gilva" Quercus                                
KM200965.1 "Quercus gravesii" "Quercus gravesii" Quercus                                
KM200966.1 "Quercus grisea" "Quercus grisea" Quercus                                
FM244025.1 "Quercus hartwissiana 1" "Quercus hartwissiana " Quercus                                
FM244028.1 "Quercus hartwissiana 2" "Quercus hartwissiana " Quercus                                
FM244030.1 "Quercus hartwissiana 3" "Quercus hartwissiana " Quercus                                
FM244033.1 "Quercus hartwissiana 4" "Quercus hartwissiana " Quercus                                
FM244038.1 "Quercus hartwissiana 5" "Quercus hartwissiana " Quercus                                
FM244353.1 "Quercus ilex 1" "Quercus ilex " Quercus                                
FM244338.1 "Quercus ilex 2" "Quercus ilex " Quercus                                
FM244386.1 "Quercus ilex 3" "Quercus ilex " Quercus                                
FM244397.1 "Quercus ilex 4" "Quercus ilex " Quercus                                
FM244408.1 "Quercus ilex 5" "Quercus ilex " Quercus                                
FM244419.1 "Quercus ilex 6" "Quercus ilex " Quercus                                
FM244426.1 "Quercus ilex 7" "Quercus ilex " Quercus                                
FM244435.1 "Quercus ilex 8" "Quercus ilex " Quercus                                
FM244445.1 "Quercus ilex 9" "Quercus ilex " Quercus                                
FM244454.1 "Quercus ilex 10" "Quercus ilex " Quercus                                
FM244463.1 "Quercus ilex 11" "Quercus ilex " Quercus                                
FM244368.1 "Quercus ilex 12" "Quercus ilex " Quercus                                
FM244359.1 "Quercus ilex 14" "Quercus ilex " Quercus                                
FM243934.1 "Quercus infectoria 1" "Quercus infectoria " Quercus                                
FM243941.1 "Quercus infectoria 2" "Quercus infectoria " Quercus                                
FM244066.1 "Quercus infectoria 3" "Quercus infectoria " Quercus                                
FM244074.1 "Quercus infectoria 4" "Quercus infectoria " Quercus                                
FM244083.1 "Quercus infectoria 5" "Quercus infectoria " Quercus                                
FM243868.1 "Quercus ithaburensis 1" "Quercus ithaburensis " Quercus                                
FM243869.1 "Quercus ithaburensis 2" "Quercus ithaburensis " Quercus                                
FM243874.1 "Quercus ithaburensis 3" "Quercus ithaburensis " Quercus                                
FM243873.1 "Quercus ithaburensis 4" "Quercus ithaburensis " Quercus                                
FM243871.1 "Quercus ithaburensis 5" "Quercus ithaburensis " Quercus                                
JQ421342.1 "Quercus lobata 1" "Quercus lobata " Quercus                                
JQ421349.1 "Quercus lobata 2" "Quercus lobata " Quercus                                
JQ421352.1 "Quercus lobata 3" "Quercus lobata " Quercus                                
JQ421359.1 "Quercus lobata 4" "Quercus lobata " Quercus                                
JQ421345.1 "Quercus lobata 5" "Quercus lobata " Quercus                                
FM243996.1 "Quercus lusitanica 1" "Quercus lusitanica " Quercus                                
FM243997.1 "Quercus lusitanica 2" "Quercus lusitanica " Quercus                                
FM244091.1 "Quercus macranthera 1" "Quercus macranthera " Quercus                                
FM244089.1 "Quercus macranthera 2" "Quercus macranthera " Quercus                                
FM244093.1 "Quercus macranthera 3" "Quercus macranthera " Quercus                                
FM244097.1 "Quercus macranthera 4" "Quercus macranthera " Quercus                                
FM244099.1 "Quercus macranthera 5" "Quercus macranthera " Quercus                                
EU646138.1 "Quercus michauxii 1" "Quercus michauxii " Quercus                                
EU646175.1 "Quercus michauxii 2" "Quercus michauxii " Quercus                                
KM200971.1 "Quercus mohriana" "Quercus mohriana" Quercus                                
KM200972.1 "Quercus muehlenbergii" "Quercus muehlenbergii" Quercus                                
AY147108.1 "Quercus multinervis" "Quercus multinervis" Quercus                                
KM200973.1 "Quercus oblongifolia" "Quercus oblongifolia" Quercus                                
KX610102.1 "Quercus pagoda" "Quercus pagoda" Quercus                                
MF360746.1 "Quercus palustris" "Quercus palustris" Quercus                                
FM244056.1 "Quercus petraea 1" "Quercus petraea " Quercus                                
FM244126.1 "Quercus petraea 2" "Quercus petraea " Quercus                                
FM244131.1 "Quercus petraea 3" "Quercus petraea " Quercus                                
FM244144.1 "Quercus petraea 4" "Quercus petraea " Quercus                                
FP047322.1 "Quercus petraea 5" "Quercus petraea " Quercus                                
FP042364.1 "Quercus petraea 6" "Quercus petraea " Quercus                                
FP042410.1 "Quercus petraea 7" "Quercus petraea " Quercus                                
FP042127.1 "Quercus petraea 8" "Quercus petraea " Quercus                                
FP049658.1 "Quercus petraea 9" "Quercus petraea " Quercus                                
FP047133.1 "Quercus petraea 10" "Quercus petraea " Quercus                                
FM244151.1 "Quercus pontica 1" "Quercus pontica " Quercus                                
FM244153.1 "Quercus pontica 2" "Quercus pontica " Quercus                                
FM244155.1 "Quercus pontica 3" "Quercus pontica " Quercus                                
FM244157.1 "Quercus pontica 4" "Quercus pontica " Quercus                                
FM244159.1 "Quercus pontica 5" "Quercus pontica " Quercus                                
KM200974.1 "Quercus prinoides" "Quercus prinoides" Quercus                                
FM244165.1 "Quercus pubescens 1" "Quercus pubescens " Quercus                                
FM244182.1 "Quercus pubescens 2" "Quercus pubescens " Quercus                                
FM244191.1 "Quercus pubescens 3" "Quercus pubescens " Quercus                                
FM244254.1 "Quercus pubescens 4" "Quercus pubescens " Quercus                                
FM244171.1 "Quercus pubescens 5" "Quercus pubescens " Quercus                                
KM200975.1 "Quercus pungens" "Quercus pungens" Quercus                                
FM244194.1 "Quercus pyrenaica 1" "Quercus pyrenaica " Quercus                                
FM244205.1 "Quercus pyrenaica 2" "Quercus pyrenaica " Quercus                                
FM244213.1 "Quercus pyrenaica 3" "Quercus pyrenaica " Quercus                                
FM244222.1 "Quercus pyrenaica 4" "Quercus pyrenaica " Quercus                                
FM244226.1 "Quercus pyrenaica 5" "Quercus pyrenaica " Quercus                                
FP055223.1 "Quercus robur 1" "Quercus robur " Quercus                                
FP035449.1 "Quercus robur 2" "Quercus robur " Quercus                                
FP069206.1 "Quercus robur 3" "Quercus robur " Quercus                                
FP065279.1 "Quercus robur 4" "Quercus robur " Quercus                                
FP074629.1 "Quercus robur 5" "Quercus robur " Quercus                                
FP066343.1 "Quercus robur 6" "Quercus robur " Quercus                                
FP055417.1 "Quercus robur 7" "Quercus robur " Quercus                                
FP066080.1 "Quercus robur 8" "Quercus robur " Quercus                                
FP032119.1 "Quercus robur 9" "Quercus robur " Quercus                                
FP040340.1 "Quercus robur 10" "Quercus robur " Quercus                                
FP069952.1 "Quercus robur 11" "Quercus robur " Quercus                                
FP072565.1 "Quercus robur 12" "Quercus robur " Quercus                                
FP036702.1 "Quercus robur 13" "Quercus robur " Quercus                                
FP063418.1 "Quercus robur 14" "Quercus robur " Quercus                                
FP057704.1 "Quercus robur 15" "Quercus robur " Quercus                                
FP057916.1 "Quercus robur 16" "Quercus robur " Quercus                                
FP067020.1 "Quercus robur 17" "Quercus robur " Quercus                                
