FM244355 "Quercus ilex"                                  
FM244354 "Quercus ilex"                                  
FM244353 "Quercus ilex"                                  
FM244352 "Quercus ilex"                                  
FM244351 "Quercus ilex"                                  
FM244350 "Quercus ilex"                                  
FM244349 "Quercus ilex"                                  
FM244348 "Quercus ilex"                                  
FM244347 "Quercus ilex"                                  
FM244346 "Quercus ilex"                                  
FM244345 "Quercus ilex"                                  
FM244344 "Quercus ilex"                                  
FM244343 "Quercus ilex"                                  
FM244342 "Quercus ilex"                                  
FM244341 "Quercus ilex"                                  
FM244340 "Quercus ilex"                                  
FM244339 "Quercus ilex"                                  
FM244338 "Quercus ilex"                                  
FM244337 "Quercus coccifera"                                  
FM244336 "Quercus coccifera"                                  
FM244335 "Quercus coccifera"                                  
FM244334 "Quercus dilatata"                                  
FM244333 "Quercus coccifera"                                  
FM244332 "Quercus coccifera"                                  
FM244331 "Quercus coccifera"                                  
FM244330 "Quercus coccifera"                                  
FM244329 "Quercus coccifera"                                  
FM244328 "Quercus coccifera"                                  
FM244326 "Quercus coccifera"                                  
FM244325 "Quercus coccifera"                                  
FM244324 "Quercus coccifera"                                  
FM244323 "Quercus coccifera"                                  
FM244322 "Quercus coccifera"                                  
FM244321 "Quercus coccifera"                                  
FM244320 "Quercus coccifera"                                  
FM244318 "Quercus coccifera"                                  
FM244317 "Quercus coccifera"                                  
FM244316 "Quercus coccifera"                                  
FM244312 "Quercus coccifera"                                  
FM244310 "Quercus coccifera"                                  
FM244308 "Quercus coccifera"                                  
FM244307 "Quercus coccifera"                                  
FM244274 "Quercus alnifolia"                                  
FM244275 "Quercus alnifolia"                                  
FM244276 "Quercus alnifolia"                                  
FM244277 "Quercus alnifolia"                                  
FM244278 "Quercus alnifolia"                                  
FM244279 "Quercus alnifolia"                                  
FM244280 "Quercus alnifolia"                                  
FM244281 "Quercus alnifolia"                                  
FM244250 "Quercus robur"                                  
FM244251 "Quercus pubescens"                                  
FM244252 "Quercus pubescens"                                  
FM244253 "Quercus pubescens"                                  
FM244254 "Quercus pubescens"                                  
FM244255 "Quercus pubescens"                                  
FM244257 "Quercus pubescens"                                  
FM244258 "Quercus pubescens"                                  
FM244259 "Quercus pubescens"                                  
FM244262 "Quercus pubescens"                                  
FM244263 "Quercus vulcanica"                                  
FM244264 "Quercus vulcanica"                                  
FM244265 "Quercus vulcanica"                                  
FM244266 "Quercus vulcanica"                                  
FM244267 "Quercus vulcanica"                                  
FM244268 "Quercus vulcanica"                                  
FM244269 "Quercus vulcanica"                                  
FM244270 "Quercus vulcanica"                                  
FM244271 "Quercus vulcanica"                                  
FM244272 "Quercus vulcanica"                                  
FM244273 "Quercus vulcanica"                                  
FM244306 "Quercus coccifera"                                  
FM244305 "Quercus coccifera"                                  
FM244304 "Quercus coccifera"                                  
FM244303 "Quercus coccifera"                                  
FM244302 "Quercus coccifera"                                  
FM244301 "Quercus coccifera"                                  
FM244300 "Quercus coccifera"                                  
FM244299 "Quercus coccifera"                                  
FM244298 "Quercus coccifera"                                  
FM244249 "Quercus robur"                                  
FM244248 "Quercus robur"                                  
FM244246 "Quercus robur"                                  
FM244245 "Quercus robur"                                  
FM244244 "Quercus robur"                                  
FM244243 "Quercus robur"                                  
FM244242 "Quercus robur"                                  
FM244241 "Quercus robur"                                  
FM244240 "Quercus robur"                                  
FM244239 "Quercus robur"                                  
FM244238 "Quercus robur"                                  
FM244237 "Quercus robur"                                  
FM244236 "Quercus robur"                                  
FM244235 "Quercus robur"                                  
FM244234 "Quercus robur"                                  
FM244233 "Quercus robur"                                  
FM244232 "Quercus robur"                                  
FM244231 "Quercus robur"                                  
FM244230 "Quercus robur"                                  
FM244229 "Quercus robur"                                  
FM244227 "Quercus robur"                                  
FM244224 "Quercus pyrenaica"                                  
FM244223 "Quercus pyrenaica"                                  
FM244222 "Quercus pyrenaica"                                  
FM244221 "Quercus pyrenaica"                                  
FM244220 "Quercus pyrenaica"                                  
FM244219 "Quercus pyrenaica"                                  
FM244217 "Quercus pyrenaica"                                  
FM244216 "Quercus pyrenaica"                                  
FM244214 "Quercus pyrenaica"                                  
FM244213 "Quercus pyrenaica"                                  
FM244212 "Quercus pyrenaica"                                  
FM244211 "Quercus pyrenaica"                                  
FM244210 "Quercus pyrenaica"                                  
FM244209 "Quercus pyrenaica"                                  
FM244204 "Quercus pyrenaica"                                  
FM244203 "Quercus pyrenaica"                                  
FM244202 "Quercus pyrenaica"                                  
FM244201 "Quercus pyrenaica"                                  
FM244200 "Quercus pyrenaica"                                  
FM244199 "Quercus pyrenaica"                                  
FM244197 "Quercus pyrenaica"                                  
FM244196 "Quercus pyrenaica"                                  
FM244195 "Quercus pyrenaica"                                  
FM244193 "Quercus pubescens"                                  
FM244192 "Quercus pubescens"                                  
FM244191 "Quercus pubescens"                                  
FM244190 "Quercus pubescens"                                  
FM244189 "Quercus pubescens"                                  
FM244188 "Quercus pubescens"                                  
FM244187 "Quercus pubescens"                                  
FM244186 "Quercus pubescens"                                  
FM244185 "Quercus pubescens"                                  
FM244184 "Quercus pubescens"                                  
FM244183 "Quercus pubescens"                                  
FM244182 "Quercus pubescens"                                  
FM244181 "Quercus pubescens"                                  
FM244178 "Quercus pubescens"                                  
FM244176 "Quercus pubescens"                                  
FM244175 "Quercus pubescens"                                  
FM244174 "Quercus pubescens"                                  
FM244173 "Quercus pubescens"                                  
FM244172 "Quercus pubescens"                                  
FM244171 "Quercus pubescens"                                  
FM244170 "Quercus pubescens"                                  
FM244169 "Quercus pubescens"                                  
FM244168 "Quercus pubescens"                                  
FM244167 "Quercus pubescens"                                  
FM244166 "Quercus pubescens"                                  
FM244165 "Quercus pubescens"                                  
FM244164 "Quercus pubescens"                                  
FM244163 "Quercus pubescens"                                  
FM244162 "Quercus pubescens"                                  
FM244161 "Quercus pubescens"                                  
FM244160 "Quercus pontica"                                  
FM244159 "Quercus pontica"                                  
FM244158 "Quercus pontica"                                  
FM244157 "Quercus pontica"                                  
FM244156 "Quercus pontica"                                  
FM244155 "Quercus pontica"                                  
FM244154 "Quercus pontica"                                  
FM244153 "Quercus pontica"                                  
FM244152 "Quercus pontica"                                  
