x Genus
Quercus_alba Quercus
Quercus_alnifolia_1 Quercus
Quercus_alnifolia_2 Quercus
Oncorhynchus_kisutch Oncorhynchus
Oncorhynchus_masou_1 Oncorhynchus
Oncorhynchus_tshawytscha Oncorhynchus
Quercus_alnifolia_3 Quercus
Quercus_alnifolia_4 Quercus
Quercus_alnifolia_5 Quercus
Quercus_petraea_9 Quercus
Quercus_prinoides Quercus
Quercus_pubescens_1 Quercus
Quercus_pubescens_2 Quercus
Quercus_pubescens_3 Quercus
Quercus_pubescens_4 Quercus
Quercus_pyrenaica_1 Quercus
Quercus_pubescens_5 Quercus
Quercus_pungens Quercus
Quercus_pontica_1 Quercus
Quercus_pontica_2 Quercus
Quercus_pontica_3 Quercus
Quercus_pontica_5 Quercus
Quercus_pontica_4 Quercus
Acer_barbinerve Acer
Acer_buergerianum Acer
Acer_caesium_1 Acer
Acer_caesium_2 Acer
Acer_caesium_3 Acer
Tulipa_armena Tulipa
Vesicularia_spinosa Vesicularia
Tulipa_agenensis Tulipa
Adiantum_capillus-veneris Adiantum
Quercus_mohriana Quercus
Quercus_falcata_4 Quercus
Quercus_falcata_6 Quercus
Quercus_frainetto_1 Quercus
Quercus_ilex_1 Quercus
Quercus_ilex_2 Quercus
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
NA NA
